text,label,paraphrase,similarity,llm_valid,gpt_orig_labels,gpt_para_labels,mis_orig_labels,mis_para_labels,gpt_orig_conf,gpt_para_conf,mis_orig_conf,mis_para_conf,gpt_orig_pred,gpt_para_pred,mis_orig_pred,mis_para_pred,gpt_flip,mis_flip
Very disappointed in the customer service. We ordered Reuben's  and wanted coleslaw instead of kraut. They charged us $3.00 for the coleslaw. We will not be back . The iced tea is also terrible tasting.,1,Highly dissatisfied with the customer service. We ordered Reuben sandwiches and requested coleslaw in place of kraut. They billed us $3.00 for the coleslaw. We won’t be returning. The iced tea also tastes awful.,0.9494654,YES,"['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']",1.0,1.0,1.0,1.0,Negative,Negative,Negative,Negative,False,False
"Let there be no question: Alexions owns the best cheeseburger in the region and they have now for decades. Try a burger on Italian bread. The service is flawlessly friendly, the food is amazing, and the wings? Oh the wings... but it's still about the cheeseburger. The atmosphere is inviting, but you can't eat atmosphere... so go right now. Grab the car keys... you know you're hungry for an amazing cheeseburger, maybe some wings, and a cold beer! Easily, hands down, the best bar and grill in Pittsburgh.",4,"Make no mistake: Alexions has been serving the top cheeseburger in the area for years. Their burgers on Italian bread are a must-try. The service is impeccably friendly, the food is fantastic, and the wings? Simply outstanding... but the cheeseburger remains the star. The ambiance is welcoming, but you can't consume ambiance... so head over immediately. Get your car keys... you know you're craving a fantastic cheeseburger, perhaps some wings, and a cold beer! Without a doubt, the best bar and grill in Pittsburgh.",0.95344377,YES,"['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']",1.0,1.0,1.0,1.0,Positive,Positive,Positive,Positive,False,False
"Used to go there for tires, brakes, etc.  Their prices have gone way up-$400 for 4 mid-level tires for a Toyota.  Plus, 1 of the new tires went flat within 3 weeks.  Since they don\""t make appointments,  the wait to get the tire looked at was ~2 hours.  Sorry--can't wait that long to get a warranted repair,  They lost my business for good.",0,"I used to visit them for tires, brakes, and other services. However, their prices have significantly increased—$400 for four mid-range tires for a Toyota. Additionally, one of the new tires became flat in less than three weeks. Without an appointment system, it took about two hours just to have the tire inspected. Unfortunately, I can't afford to wait that long for a repair under warranty. They've permanently lost me as a customer.",0.8967314,YES,"['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']",1.0,1.0,1.0,1.0,Negative,Negative,Negative,Negative,False,False
"Terrible. Preordered my tires and when I arrived they couldn't find the order anywhere. Once we got through that process I waited over 2 hours for them to be put on... I was originally told it would take 30 mins. Slow, over priced, I'll go elsewhere next time.",0,"Awful experience. I preordered my tires, but upon arrival, they couldn't locate the order at all. After sorting that out, I ended up waiting more than 2 hours for the installation, despite being informed it would only take 30 minutes. The service was slow and overpriced; I'll choose a different place next time.",0.87420547,YES,"['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']",1.0,1.0,1.0,1.0,Negative,Negative,Negative,Negative,False,False
"Rocky's has been in business since the 1980s and still going strong.  Their food is good.  Not haute cuisine, pretentious!  Everyday, well prepared and taste bud pleasing home style cooking.  I've mostly gone during supper hours and  and ate in the dining room, but, today I introduced an old friend to \""linner\"" in the bar.\nHe ordered the large version of fish sandwich.  Rocky's is famous for their fish.  Three large breaded and fried fish filets, bun and fries for under $10.  Needless to say, he had no complaints and brought home more than he ate.\nI ordered the meatball grill.  It was delish.  Served on thick cut Italian bread and made \""grilled cheese\"" (mozzarella) style.  Meatballs and tomato sauce are both good!  Also, served with fries.  I brought home half the sandwich.\nAnother good meal there.  Friends, mother, and former boss all enjoy their food!",3,"Rocky's has been operating since the 1980s and continues to thrive. Their food is quite good, not fancy or pretentious, but rather everyday, well-prepared, and satisfying home-style cooking. I usually visit during dinner hours and eat in the dining room, but today I introduced an old friend to a ""linner"" in the bar. He ordered the large fish sandwich, which Rocky's is known for. It includes three large breaded and fried fish fillets, a bun, and fries for under $10. Unsurprisingly, he had no complaints and took home more than he ate. I opted for the meatball grill, which was delicious. It was served on thick-cut Italian bread, made in a ""grilled cheese"" (mozzarella) style. Both the meatballs and tomato sauce were tasty! It also came with fries. I took home half of the sandwich. Another satisfying meal there. Friends, my mother, and a former boss all enjoy their food!",0.9359694,YES,"['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']",1.0,1.0,1.0,1.0,Positive,Positive,Positive,Positive,False,False
"If you want a true understanding of Pittsburgh in the morning, come here. This greasy spoon is always packed, and is one of the better of its kind south of the city.\n\nThey serve waffles in halves, which is great. The eggs and toast are good, the homemade hot sausage is excellent. The drawback are the barely cooked potatoes.\n\nIf you're hungry, get \""The Mixed Grill\""... Gab and Eat's brand of the \""kitchen sink\"" breakfast that all Midwest places are about.",2,"To truly grasp the essence of Pittsburgh mornings, pay a visit to this spot. This bustling greasy spoon is among the top of its kind south of the city. They serve waffles in halves, which is fantastic. The eggs and toast are decent, while the homemade hot sausage is outstanding. However, the downside is the undercooked potatoes. If you have a big appetite, try ""The Mixed Grill""... Gab and Eat's version of the ""kitchen sink"" breakfast that's common in the Midwest.",0.9233967,YES,"['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']",1.0,1.0,1.0,1.0,Positive,Positive,Positive,Positive,False,False
"Cheap, unpretentious, and, for this, one of my favorite breakfast joints in the country.  Simply put I LOVE it here.  The mixed grill, the sausage and egg on a biscuit, the home fries.  This it the very definition of diner.  Thank you Gab 'n' Eat!",4,"Inexpensive and straightforward, this is why it's one of my top breakfast spots nationwide. To put it plainly, I ADORE this place. The mixed grill, the sausage and egg on a biscuit, the home fries. This is the epitome of a diner. Thanks, Gab 'n' Eat!",0.8805503,YES,"['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']",1.0,1.0,1.0,1.0,Positive,Positive,Positive,Positive,False,False
"I miss this place. When I return home to pittsburgh this is always a must to ease myself into a saturday morning recovery after getting banged up on cheap south side cocktails the night before. When I think of pittsburgh, I remember cutting morning classes in highschool just to get after the best bacon egg and cheese i know of. Honestly i live in nyc where you can get a bacon egg and cheese on every single corner, and nowhere that i have been does it as well as this joint. Go here and you will be happy you did.",3,"I long for this spot. Whenever I'm back in Pittsburgh, it's essential to start my Saturday morning recovery here after a night of indulging in inexpensive South Side cocktails. Reflecting on Pittsburgh brings back memories of skipping morning classes in high school to chase the finest bacon egg and cheese I've ever had. Even though I live in NYC, where you can find a bacon egg and cheese on every corner, no place I've visited does it quite like this one. Visit, and you'll be glad you did.",0.9230653,YES,"['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']",1.0,1.0,1.0,1.0,Positive,Positive,Positive,Positive,False,False
"OK, what is with all of these \""CASH ONLY\"" places in Pittsburgh? I can appreciate that some smaller businesses might have trouble installing a credit card system in their store/resturant, but could you perhaps provide an ATM?  In the past, this would deter me from eating at this place. \n\nLooking at a standard breakfast menu, I decided to go with a tuna melt instead. What I got was a cold tuna salad sandwich with a slice of cheese on toast. I had ordered a melt being in the mood for a warm meal, but to no avail. One day later I can't even remember what my side was. I suppose it didn't leave much of an impression on me.  I have to say that the dessert was really good! The cherry pecan pie! I have not seen this concoction anywhere else but this was awesome! The cherries were not the sweet canned variety, but a pie worthy tart topped with sugar. I think I want to make this pie with my parents next harvest of our cherry tree!\n\nMy first impression is \""Eh.\""  I am learning how crazy Pittsburghers are over breakfast! Seriously, waiting 30 minutes for a table at a tiny diner with a menu that reads as follows:  \n\n\""2 eggs and toast $x.xx\""\n\""2 eggs, meat, and toast $x.xx\""\n\""2 eggs and pancake $x.xx\""\n\nI'd rather go to a Denny's and order the \""create your own Grand Slam!\""",2,"What’s up with all these “CASH ONLY” spots in Pittsburgh? I get that some small businesses might struggle to set up a credit card system in their shops or restaurants, but maybe they could consider having an ATM? Previously, this would have kept me from dining at such places.

While browsing a typical breakfast menu, I opted for a tuna melt. What I received, however, was a cold tuna salad sandwich with cheese on toast. I had ordered a melt because I was in the mood for something warm, but that didn’t happen. A day later, I can’t even recall what side dish I had, which suggests it didn’t stand out. On a positive note, the dessert was fantastic! The cherry pecan pie was unique and impressive! The cherries weren’t the sweet canned type but a tart pie with sugar on top. I’m thinking of making this pie with my parents when our cherry tree yields its next harvest!

My initial reaction was “Eh.” I’m noticing how passionate Pittsburgh residents are about breakfast! Honestly, waiting 30 minutes for a table at a small diner with a menu like this: 

“2 eggs and toast $x.xx”
“2 eggs, meat, and toast $x.xx”
“2 eggs and pancake $x.xx”

I’d prefer to head to a Denny's and customize a Grand Slam breakfast!",0.9142014,YES,"['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']","['Neutral', 'Negative', 'Neutral', 'Neutral', 'Negative']","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Negative']",1.0,1.0,0.6,0.8,Neutral,Neutral,Neutral,Neutral,False,False
"BEST DINER IN THE COUNRTY!!! We've been to many famous diners across the country and we still give  Gab and Eat the best rating !! I was a little intimidated when I first walked in and there was like 2 pounds of butter just sitting on top of the homefires on the grill.  If you are looking for a healthy breakfast they probably can accomodate you, but Everything I ate was clearly the opposite of healthy.  After trying like every meal they have I would recommend the mix grill(half unless you are sharing) adding cajun seasoning with the texas toast.  Burgers are great too.\n\nIt's hard to find a place that makes a better breakfast than you could make by yourself at home, but this place does it.  The atmosphere is classy, old school Americana.",4,"TOP DINER IN THE NATION!!! We've visited numerous renowned diners nationwide, yet Gab and Eat consistently earns our highest praise!! Initially, I was a bit daunted upon entering and seeing about 2 pounds of butter atop the home fries on the grill. If you're after a nutritious breakfast, they likely can cater to you, but everything I consumed was decidedly not health-conscious. After sampling nearly every dish on their menu, I suggest the mix grill (a half portion unless you're sharing), with Cajun seasoning and Texas toast. The burgers are excellent as well.

It's rare to find a spot that prepares a breakfast better than what you can whip up at home, but this place achieves that. The ambiance is classy, with a vintage Americana vibe.",0.90641934,YES,"['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']",1.0,1.0,1.0,1.0,Positive,Positive,Positive,Positive,False,False
"Great breakfast, good price. You might have to stand outside in line though, so I don't really recommend winter time to go. lol. Very friendly service, interesting coffee mugs. They have great deserts and such also. Bring your cash though as they dont' take cards.",3,"The breakfast is excellent and reasonably priced, but you might have to wait in line outside, so it's not ideal to visit in winter. The service is very friendly, and the coffee mugs are unique. They also offer great desserts. Remember to bring cash, as they don't accept cards.",0.927911,YES,"['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']",1.0,1.0,1.0,1.0,Positive,Positive,Positive,Positive,False,False
